date_time,day,home_team,away_team,stadium
17/07/2004 19:40,Saturday,Adelaide,Fremantle,Footy Park
18/07/2004 13:10,Sunday,Geelong,Sydney,Kardinia
18/07/2004 14:10,Sunday,Hawthorn,Port Adelaide,MCG
18/07/2004 14:10,Sunday,Melbourne,Western Bulldogs,Docklands
23/07/2004 19:40,Friday,St Kilda,Essendon,Docklands
24/07/2004 14:10,Saturday,North Melbourne,Hawthorn,MCG
24/07/2004 16:10,Saturday,Fremantle,Sydney,Subiaco
24/07/2004 19:10,Saturday,Brisbane Lions,Adelaide,Gabba
24/07/2004 19:10,Saturday,Western Bulldogs,Collingwood,Docklands
25/07/2004 13:10,Sunday,Port Adelaide,West Coast,Footy Park
25/07/2004 14:10,Sunday,Geelong,Carlton,Docklands
25/07/2004 14:10,Sunday,Richmond,Melbourne,MCG
30/07/2004 20:40,Friday,Adelaide,North Melbourne,Footy Park
31/07/2004 14:10,Saturday,Carlton,Fremantle,Princes Park
31/07/2004 14:10,Saturday,Collingwood,Richmond,MCG
31/07/2004 19:10,Saturday,Sydney,Brisbane Lions,SCG
31/07/2004 19:10,Saturday,Essendon,Port Adelaide,Docklands
1/08/2004 13:10,Sunday,Geelong,St Kilda,Kardinia
1/08/2004 14:10,Sunday,Melbourne,Hawthorn,MCG
1/08/2004 16:10,Sunday,West Coast,Western Bulldogs,Subiaco
6/08/2004 20:40,Friday,Fremantle,Collingwood,Subiaco
7/08/2004 13:10,Saturday,St Kilda,Adelaide,Launceston
7/08/2004 14:10,Saturday,Essendon,Carlton,MCG
7/08/2004 19:10,Saturday,Western Bulldogs,Hawthorn,Docklands
7/08/2004 19:10,Saturday,Sydney,North Melbourne,SCG
8/08/2004 13:10,Sunday,Brisbane Lions,West Coast,Gabba
8/08/2004 14:10,Sunday,Richmond,Geelong,MCG
8/08/2004 15:10,Sunday,Port Adelaide,Melbourne,Footy Park
13/08/2004 19:40,Friday,Essendon,Collingwood,MCG
14/08/2004 14:10,Saturday,Hawthorn,Brisbane Lions,MCG
14/08/2004 14:10,Saturday,Geelong,Fremantle,Kardinia
14/08/2004 19:10,Saturday,Melbourne,Sydney,Docklands
14/08/2004 20:10,Saturday,Western Bulldogs,Port Adelaide,Marrara
15/08/2004 13:10,Sunday,Adelaide,Richmond,Footy Park
15/08/2004 14:10,Sunday,North Melbourne,St Kilda,Docklands
15/08/2004 16:10,Sunday,West Coast,Carlton,Subiaco
20/08/2004 19:40,Friday,Collingwood,Port Adelaide,MCG
21/08/2004 14:10,Saturday,Carlton,Melbourne,Princes Park
21/08/2004 14:40,Saturday,Adelaide,Geelong,Footy Park
21/08/2004 19:10,Saturday,Western Bulldogs,North Melbourne,Docklands
21/08/2004 19:20,Saturday,Sydney,Essendon,Homebush
22/08/2004 13:10,Sunday,Brisbane Lions,St Kilda,Gabba
22/08/2004 14:10,Sunday,Hawthorn,Richmond,MCG
22/08/2004 16:10,Sunday,Fremantle,West Coast,Subiaco
27/08/2004 19:40,Friday,Collingwood,Carlton,MCG
28/08/2004 14:10,Saturday,Richmond,Sydney,MCG
28/08/2004 16:10,Saturday,West Coast,Melbourne,Subiaco
28/08/2004 19:10,Saturday,St Kilda,Fremantle,Docklands
28/08/2004 19:10,Saturday,Brisbane Lions,North Melbourne,Gabba
