Stadium,BOM_station_number,Year,Month,Day,Rainfall_amount
Adelaide Oval,23011,2004,10,12,0
Adelaide Oval,23011,2004,10,13,0.6
Adelaide Oval,23011,2004,10,14,0
Adelaide Oval,23011,2004,10,15,0
Adelaide Oval,23011,2004,10,16,0
Adelaide Oval,23011,2004,10,17,0
Adelaide Oval,23011,2004,10,18,0
Adelaide Oval,23011,2004,10,19,0
Adelaide Oval,23011,2004,10,20,0
Adelaide Oval,23011,2004,10,21,2
Adelaide Oval,23011,2004,10,22,0
Adelaide Oval,23011,2004,10,23,0
Adelaide Oval,23011,2004,10,24,0
Adelaide Oval,23011,2004,10,25,0
Adelaide Oval,23011,2004,10,26,0
Adelaide Oval,23011,2004,10,27,6.4
Adelaide Oval,23011,2004,10,28,0
Adelaide Oval,23011,2004,10,29,0
Adelaide Oval,23011,2004,10,30,0
Adelaide Oval,23011,2004,10,31,0
Adelaide Oval,23011,2004,11,1,0
Adelaide Oval,23011,2004,11,2,
Adelaide Oval,23011,2004,11,3,2.8
Adelaide Oval,23011,2004,11,4,8
Adelaide Oval,23011,2004,11,5,6.4
Adelaide Oval,23011,2004,11,6,7.8
Adelaide Oval,23011,2004,11,7,5.6
Adelaide Oval,23011,2004,11,8,0.2
Adelaide Oval,23011,2004,11,9,0
Adelaide Oval,23011,2004,11,10,0
Adelaide Oval,23011,2004,11,11,
Adelaide Oval,23011,2004,11,12,15.2
Adelaide Oval,23011,2004,11,13,0
Adelaide Oval,23011,2004,11,14,
Adelaide Oval,23011,2004,11,15,2.4
Adelaide Oval,23011,2004,11,16,0
Adelaide Oval,23011,2004,11,17,0
Adelaide Oval,23011,2004,11,18,0
Adelaide Oval,23011,2004,11,19,0.2
Adelaide Oval,23011,2004,11,20,0
Adelaide Oval,23011,2004,11,21,0
Adelaide Oval,23011,2004,11,22,0
Adelaide Oval,23011,2004,11,23,0
Adelaide Oval,23011,2004,11,24,0
Adelaide Oval,23011,2004,11,25,0
Adelaide Oval,23011,2004,11,26,0
Adelaide Oval,23011,2004,11,27,0
Adelaide Oval,23011,2004,11,28,0
Adelaide Oval,23011,2004,11,29,0
Adelaide Oval,23011,2004,11,30,0
Adelaide Oval,23011,2004,12,1,8.8
Adelaide Oval,23011,2004,12,2,0
Adelaide Oval,23011,2004,12,3,0
Adelaide Oval,23011,2004,12,4,0
Adelaide Oval,23011,2004,12,5,0
Adelaide Oval,23011,2004,12,6,
Adelaide Oval,23011,2004,12,7,3.4
Adelaide Oval,23011,2004,12,8,0.6
Adelaide Oval,23011,2004,12,9,1.6
Adelaide Oval,23011,2004,12,10,16
Adelaide Oval,23011,2004,12,11,0
Adelaide Oval,23011,2004,12,12,0
Adelaide Oval,23011,2004,12,13,1
Adelaide Oval,23011,2004,12,14,0.2
Adelaide Oval,23011,2004,12,15,1.8
Adelaide Oval,23011,2004,12,16,0
Adelaide Oval,23011,2004,12,17,0
Adelaide Oval,23011,2004,12,18,0
Adelaide Oval,23011,2004,12,19,0
Adelaide Oval,23011,2004,12,20,0
Adelaide Oval,23011,2004,12,21,0
Adelaide Oval,23011,2004,12,22,0
Adelaide Oval,23011,2004,12,23,0
Adelaide Oval,23011,2004,12,24,0
Adelaide Oval,23011,2004,12,25,0
Adelaide Oval,23011,2004,12,26,0
Adelaide Oval,23011,2004,12,27,0
Adelaide Oval,23011,2004,12,28,0
Adelaide Oval,23011,2004,12,29,0
Adelaide Oval,23011,2004,12,30,0
Adelaide Oval,23011,2004,12,31,0
Adelaide Oval,23011,2005,1,1,0
Adelaide Oval,23011,2005,1,2,0
Adelaide Oval,23011,2005,1,3,0
Adelaide Oval,23011,2005,1,4,1.4
Adelaide Oval,23011,2005,1,5,1
Adelaide Oval,23011,2005,1,6,3.2
Adelaide Oval,23011,2005,1,7,0
Adelaide Oval,23011,2005,1,8,0
Adelaide Oval,23011,2005,1,9,0
Adelaide Oval,23011,2005,1,10,0
Adelaide Oval,23011,2005,1,11,0
Adelaide Oval,23011,2005,1,12,0
Adelaide Oval,23011,2005,1,13,0
Adelaide Oval,23011,2005,1,14,0
Adelaide Oval,23011,2005,1,15,0
Adelaide Oval,23011,2005,1,16,0
Adelaide Oval,23011,2005,1,17,0
Adelaide Oval,23011,2005,1,18,0
Adelaide Oval,23011,2005,1,19,0
Adelaide Oval,23011,2005,1,20,25.2
Adelaide Oval,23011,2005,1,21,0
Adelaide Oval,23011,2005,1,22,0
Adelaide Oval,23011,2005,1,23,0
Adelaide Oval,23011,2005,1,24,0
Adelaide Oval,23011,2005,1,25,0
Adelaide Oval,23011,2005,1,26,0
Adelaide Oval,23011,2005,1,27,0
Adelaide Oval,23011,2005,1,28,1
